1018261,Caledonia Farmers Market Association - Danville,https://sites.google.com/site/caledoniafarmersmarket/,FALSE,https://www.facebook.com/Danville.VT.Farmers.Market/,FALSE,,,,,Danville,DANVILLE,Caledonia,Caledonia,Vermont,5828,06/14/2017 to 08/30/2017,Wed: 9:00 AM-1:00 PM;,09/06/2017 to 10/18/2017,Wed: 2:00 PM-6:00 PM;,,,,,-72.140337,44.411036,,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,6/20/2017 22:43
1018318,Stearns Homestead Farmers' Market,http://www.StearnsHomestead.com,FALSE,StearnsHomesteadFarmersMarket,TRUE,,,,6975 Ridge Road,Parma ,PARMA,Cuyahoga,Cuyahoga,Ohio,,06/24/2017 to 09/30/2017,Sat: 9:00 AM-1:00 PM;,,,,,,,-81.7339387,41.3748009,,Y,N,N,Y,N,NA,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,6/21/2017 17:15
1009364,106 S. Main Street Farmers Market,http://thetownofsixmile.wordpress.com/,FALSE,,FALSE,,,,106 S Main Street,Six Mile,SIX MILE,,,South Carolina,29682,,,,,,,,,-82.8187,34.8042,,Y,N,N,N,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/2013 1:00
1010691,10th Steet Community Farmers Market,,FALSE,,FALSE,,,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=275,10th Street and Poplar,Lamar ,LAMAR,Barton,Barton,Missouri,64759,04/02/2014 to 11/30/2014,Wed: 3:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;,,,,,,,-94.2746191,37.495628,,Y,N,N,N,N,NA,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,10/28/2014 9:49
1002454,112st Madison Avenue,,FALSE,,FALSE,,,,112th Madison Avenue,New York,NEW YORK,New York,New York,New York,10029,July to November,Tue:8:00 am - 5:00 pm;Sat:8:00 am - 8:00 pm;,,,,,,,-73.9493,40.7939,Private business parking lot,N,N,Y,Y,N,NA,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,3/1/2012 10:38
1011100,12 South Farmers Market,http://www.12southfarmersmarket.com,FALSE,12_South_Farmers_Market,TRUE,@12southfrmsmkt,,@12southfrmsmkt,3000 Granny White Pike,Nashville,NASHVILLE,Davidson,Davidson,Tennessee,37204,05/05/2015 to 10/27/2015,Tue: 3:30 PM-6:30 PM;,,,,,,,-86.790709,36.11837,,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,5/1/2015 10:40
1009845,125th Street Fresh Connect Farmers' Market,http://www.125thStreetFarmersMarket.com,FALSE,https://www.facebook.com/125thStreetFarmersMarket,FALSE,https://twitter.com/FarmMarket125th,,Instagram--> 125thStreetFarmersMarket,"""163 West 125th Street and Adam Clayton Powell, Jr. Blvd.""",New York,NEW YORK,New York,New York,New York,10027,06/10/2014 to 11/25/2014,Tue: 10:00 AM-7:00 PM;,,,,,,,-73.9482477,40.8089533,Federal/State government building grounds,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,4/7/2014 16:32
1005586,12th & Brandywine Urban Farm Market,,FALSE,https://www.facebook.com/pages/12th-Brandywine-Urban-Farm-Community-Garden/253769448091860,FALSE,,,https://www.facebook.com/delawareurbanfarmcoalition,12th & Brandywine Streets,Wilmington,WILMINGTON,New Castle,New Castle,Delaware,19801,05/16/2014 to 10/17/2014,Fri: 8:00 AM-11:00 AM;,,,,,,,-75.53446,39.742117,"""On a farm from: a barn, a greenhouse, a tent, a stand, etc""",N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,4/3/2014 15:43
1008071,14&U Farmers' Market,,FALSE,https://www.facebook.com/14UFarmersMarket,FALSE,https://twitter.com/14UFarmersMkt,,,1400 U Street NW,Washington,WASHINGTON,District of Columbia,District of Columbia,District of Columbia,20009,05/03/2014 to 11/22/2014,Sat: 9:00 AM-1:00 PM;,,,,,,,-77.0320505,38.9169984,Other,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,4/5/2014 13:49
1012710,14th & Kennedy Street Farmers Market,,FALSE,https://www.facebook.com/14KennnedyFarmersMarket/,FALSE,14KenFM,,instagram:14kenfm,"""5500 Colorado Avenue, NW""",Washington ,WASHINGTON,District of Columbia,District of Columbia,District of Columbia,20011,04/09/2016 to 11/19/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-77.0334486,38.9559783,,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,N,N,7/20/2016 11:16
